,node_i,node_j,sim
0,0,1,0.5413736302011272
1,0,2,-0.2133777127182297
2,0,3,0.26925152872157476
3,0,4,-0.11367336148033419
4,0,5,-0.028744790988514384
5,0,6,-0.05853408193711159
6,0,7,-0.04632612671486431
7,0,8,-0.05230853805201746
8,0,9,-0.06392174363685528
9,0,10,0.04965350588523099
10,0,11,0.09330345365287526
11,0,12,0.07826182377854925
12,0,13,0.008343479968926478
13,0,14,0.036134798435542105
14,0,15,0.07110955864163183
15,0,16,-0.058236038927485745
16,0,17,-0.014908631408151806
17,0,18,0.004079194132038162
18,0,19,-0.029167307271899184
19,0,20,-0.0005837792502052788
20,0,21,-0.01018324099998228
21,0,22,-0.034375630222338735
22,0,23,0.007327772445936256
23,0,24,-0.0011230557454111657
24,0,25,0.006310596860995324
25,0,26,-0.005370624462530255
26,0,27,-0.02168097615918641
27,0,28,0.006828445439224443
28,0,29,-0.028950431526332174
29,0,30,-0.007511265287024282
30,0,31,-0.02299804241205785
31,0,32,0.008327784414325884
32,0,33,-0.0059840598713976215
33,0,34,-0.01136700702617945
34,0,35,-0.013428428090572554
35,0,36,0.003600630588623371
36,0,37,-0.001001002802654102
37,0,38,0.013143555330328762
38,0,39,-0.005545071651212193
39,0,40,-0.0011962839384391023
40,0,41,0.007831448851913803
41,0,42,-0.0013277875577100131
42,0,43,0.002281831672938814
43,0,44,-0.008058432310083236
44,0,45,-0.01717888498454704
45,0,46,-0.0032753185568390707
46,0,47,0.009251664826095957
47,0,48,-0.006665471905494493
48,0,49,-0.004601582048333388
49,0,50,0.006379998576735603
50,0,51,0.0125059374997423
51,0,52,-9.842386460227584e-05
52,0,53,0.003853348909579903
53,0,54,0.017623217465753675
54,0,55,-0.0035025914832457644
55,0,56,0.004330422807633133
56,0,57,0.0040852327566625254
57,0,58,0.010669127682243621
58,0,59,0.00034098559672571585
59,0,60,-0.0012722229780658542
60,0,61,-0.01649457432042221
61,0,62,-0.0009378417957856136
62,0,63,0.013223355340872172
63,0,64,0.013306540543349746
64,0,65,-0.0033612994774021086
65,0,66,0.0010866823113470717
66,0,67,-0.004927061284877636
67,0,68,-0.0030147159121732955
68,0,69,-0.0029892237034569954
69,0,70,0.007291010082342742
70,0,71,0.003826723248694564
71,0,72,-0.0008204093863186768
72,0,73,0.0007986059384377952
73,0,74,0.0016808742217747595
74,0,75,-0.0015552913060740065
75,0,76,-0.003216073868082905
76,0,77,0.010341258857673567
77,0,78,-0.009854294758118005
78,0,79,0.00483481363740007
79,0,80,-0.004287911759392021
80,0,81,0.0006836215797219541
81,0,82,0.003201949635065531
82,0,83,-0.005747834392133267
83,0,84,0.004140723705110152
84,0,85,-0.004101087022794855
85,0,86,0.003308437058991997
86,0,87,0.01311942657735934
87,0,88,-0.0011423391579832923
88,0,89,0.0029675568586001438
89,0,90,0.011908428241321945
90,0,91,-0.000672710876910005
91,0,92,-0.0035244318050382337
92,0,93,0.0020957861310457807
93,0,94,-0.0042936708964535645
94,0,95,-0.002587150549911752
95,0,96,0.008879811616469306
96,0,97,-0.002085054324905884
97,0,98,0.0011410604722279
98,0,99,-0.0009461731399378567
99,0,100,0.00030542921405119226
100,0,101,-0.003655514204430005
101,0,102,-0.0015594429681668517
102,0,103,-0.003794446559495511
103,0,104,0.005418120484525953
104,0,105,-0.004108994176914449
105,0,106,0.0014356269297698225
106,0,107,-0.005721710686286743
107,0,108,0.0009802849100633503
108,0,109,-0.0058798993790949985
109,0,110,0.005299846688243144
110,0,111,0.004289784210249831
111,0,112,-0.011938650481765248
112,0,113,-0.0057450197782298795
113,0,114,-0.0011665012589274785
114,0,115,-0.008944415796206431
115,0,116,-0.005432910721579899
116,0,117,0.0076670575925144695
117,0,118,0.006210475316533812
118,0,119,-0.00718257750323507
119,0,120,0.008015689314919519
120,0,121,-0.0033502782267631217
121,0,122,-0.0020758343440101796
122,0,123,-0.00291451807610937
123,0,124,-0.009979641843970167
124,0,125,-0.0012584276004716846
125,0,126,-0.005659618019498725
126,0,127,-0.004799906344141025
127,0,128,-0.004277445139253786
128,0,129,-0.006458249036991625
129,0,130,0.002925143302729639
130,0,131,0.0074786053381853375
131,0,132,0.0033441373379807663
132,0,133,0.004690851249793188
133,0,134,0.0016177122942628956
134,0,135,-0.0015801332430417944
135,0,136,0.006589528100204282
136,0,137,0.008723557848861847
137,0,138,-0.005482769394095665
138,0,139,0.005510063109011904
139,0,140,0.0003455293527390938
140,0,141,-0.0023346341280308072
141,0,142,0.0023795227494923686
142,0,143,0.0024190564857451526
143,0,144,-0.0067750575956257485
144,0,145,0.004322410460580798
145,0,146,-0.00080712466091472
146,0,147,-0.002776887348444379
147,0,148,0.0054856898325572594
148,0,149,-0.006137539820958174
149,1,2,0.31284212127142713
150,1,3,0.8775322830858909
151,1,4,0.6536153700106563
152,1,5,0.6332486362283263
153,1,6,0.738454929742623
154,1,7,0.7386905343041331
155,1,8,0.6827160878799877
156,1,9,0.6792229960779
157,1,10,0.7475897750882688
158,1,11,0.7803219593692676
159,1,12,0.785396492100202
160,1,13,0.7204556072835497
161,1,14,0.7266861191651702
162,1,15,0.7606673110281148
163,1,16,0.7050913059697732
164,1,17,0.7061038997673778
165,1,18,0.7301546805378601
166,1,19,0.7244539623366414
167,1,20,0.729888649675699
168,1,21,0.7262084131817087
169,1,22,0.7161241133181695
170,1,23,0.7307048953487937
171,1,24,0.7189527205580512
172,1,25,0.7267991295593715
173,1,26,0.7228365924349353
174,1,27,0.7240777698270896
175,1,28,0.7340724450574886
176,1,29,0.7022357537159694
177,1,30,0.7304539978989403
